d = 19, symClass = C, D = 16.000000
14, 3, 0.1663578343752466
17, 0, -0.2829784715278068
4, 7, -0.1751436865865911
8, 6, 1.548159498361134
13, 4, -0.08089380097757877
11, 5, 0.08695732873060509
-4, 8, 3.045323298324324e-15
5, 7, 0.3696766909136288
-3, 8, 0.7226412682140776
16, 2, -0.02336782071001689
-2, 8, -0.9550659812085214
17, 1, -0.01557845914610382
-1, 8, 0.5391053687228851
15, 3, -1.061174061934331
9, 6, -2.058949775582416
0, 8, 0.2891199525807079
6, 7, 0.9288913710214147
18, 0, 1.593178410271749
12, 5, -0.1028362960090033
1, 8, 1.174081127709121
14, 4, -0.7264003769714588
10, 6, -0.9248130436970744
2, 8, -1.25009856493735
17, 2, -0.5495764416974449
7, 7, -0.4187925190667549
18, 1, 1.445422065358763
16, 3, 0.2152083887984432
3, 8, 0.3444841339651458
13, 5, -0.7049332844537636
19, 0, -0.5577037133813957
15, 4, -0.4540467420203621
8, 7, 0.4461852485866789
11, 6, -0.8459993270247845
4, 8, 0.03166917365665051
18, 2, 1.823608225211988
19, 1, 1.695823760410367
17, 3, 1.140466931650484
5, 8, -0.564274332617827
-4, 9, -0.5778623768575892
-3, 9, 0.1286271419225282
9, 7, -0.5648263485985971
14, 5, -0.2839680846037268
-2, 9, 0.1573360680379421
12, 6, -0.7139759602918134
-1, 9, -0.296332826160412
20, 0, -0.1416193915227856
16, 4, -0.0804856790299075
6, 8, 1.698535283991494
0, 9, -0.4632049130562265
10, 7, 1.204584559251967
1, 9, 0.7821934180103347
19, 2, -0.6337141456930954
18, 3, -0.8209129199215965
20, 1, 1.193116185757729
15, 5, 0.9867201817650326
7, 8, -0.07156294382009123
13, 6, 0.3391931744646492
2, 9, 0.8777844080854862
17, 4, 0.1061777343353386
21, 0, -0.9508801323135379
3, 9, 0.8965897306625359
11, 7, 0.4715191787145655
8, 8, -0.9968493259286111
4, 9, -0.8739218639447818
20, 2, -0.2567584950407774
14, 6, 0.008153336043014275
16, 5, 0.5884061810787627
19, 3, 0.4697926389572798
21, 1, 0.5046250935700061
12, 7, -0.03195836144454643
9, 8, 0.03788315642623718
5, 9, -1.060401376219756
-5, 10, 8.961478147258982e-15
18, 4, -0.02457799285059011
-4, 10, -1.096965676786952
-3, 10, -0.07599669566161778
22, 0, -0.2841875872135641
-2, 10, -0.3648212499536675
-1, 10, -0.4736309946052299
15, 6, -1.316784630639172
6, 9, -1.731951156219502
17, 5, 0.9145044375758187
10, 8, 1.265581956922843
0, 10, 0.904784618667473
21, 2, 0.3378234215096081
20, 3, -0.3976214199195126
13, 7, 0.5900518795322436
22, 1, 1.553881624564305
1, 10, -1.550005343476792
19, 4, -0.4009826346993898
7, 9, 0.8467190750030165
2, 10, -1.064020068368628
23, 0, 0.1724611865984162
11, 8, 0.8130640308460506
16, 6, -0.8991698758140616
18, 5, -1.224238859334207
14, 7, 0.2581527924870798
3, 10, -0.7374116877062173
8, 9, 0.5081336285924705
22, 2, 0.3829803649764353
21, 3, -0.932590376361483
4, 10, 0.1902712288220506
23, 1, -0.2613837401871081
20, 4, 0.04977455011174241
