d = 19, symClass = D, D = 16.000000, Y = nan
[15.95203536739025, 15.95208106022494], 15.95203536739025
3, 10, -0.8961028391634341
8, 9, 0.7180281051696199
22, 2, -0.2086866721852142
21, 3, 0.9017021183785866
4, 10, 0.444442906552408
23, 1, 0.6030905120078333
20, 4, 1.742762688216744
12, 8, -1.060912651193538
9, 9, 0.03773418647063423
17, 6, -0.2764712780824529
5, 10, -0.782022347272268
-5, 11, -0.6893282630774307
15, 7, 0.4445305304510022
24, 0, 0.1436050778889983
-4, 11, -0.1479553857099492
19, 5, -1.010174937564832
-3, 11, 1.220375468857772
-2, 11, 0.4821374100811834
13, 8, -0.3231537816787864
23, 2, -0.139799976761227
22, 3, 0.7468933991099791
10, 9, -1.489185383927052
-1, 11, 0.5881777888837744
6, 10, 0.4937722713705912
24, 1, 0.160915238015527
21, 4, 0.04365416187922643
0, 11, 0.176689664230454
18, 6, 1.691111075966895
16, 7, 1.078565592226815
1, 11, -0.1980447254886217
7, 10, -1.292577449210058
25, 0, -1.139106446696574
20, 5, -0.1668577802659338
11, 9, -0.3307874520751656
14, 8, -0.4561084661736456
2, 11, 0.636231551121007
23, 3, 0.2306672326813258
24, 2, 1.745100536071759
8, 10, -0.7304879964119004
3, 11, -0.7236243434711578
22, 4, -0.0476287107063366
17, 7, -0.2559369902011897
25, 1, 0.6366232502590718
19, 6, 0.0369456117681725
12, 9, -0.03122163275150156
15, 8, 1.463871969762691
4, 11, -0.9876375681361507
21, 5, 0.09043834848654043
9, 10, -0.2267435688576844
26, 0, 2.292645931231398
-6, 12, 3.653321735944763
5, 11, 2.17231060922449
-5, 12, -0.5719349783357883
-4, 12, -1.214039899285638
13, 9, -1.676831580261524
24, 3, 1.300469947331996
-3, 12, -2.290282492720354
25, 2, 1.117077537747771
18, 7, 2.046767888677573
20, 6, -4.355940022483539
10, 10, 1.095335842333584
-2, 12, -0.6069766011970412
23, 4, -1.506853431370805
16, 8, -2.194879606178164
26, 1, -3.518302616084241
6, 11, 2.021968091345929
-1, 12, 7.22846968575669
22, 5, -0.7310594749685818
0, 12, -1.27735896846557
14, 9, -0.9754827604060266
27, 0, 3.666768340490775
11, 10, -1.122958513836228
7, 11, -0.6547999368680963
1, 12, 0.3464305176546011
19, 7, -0.04968914419833945
25, 3, 0.1043885608604841
17, 8, -0.3898961473141064
21, 6, -0.6494117182447058
26, 2, 2.461869677936508
2, 12, -0.6887574045716559
24, 4, -0.1137031699220269
8, 11, 0.7762506086975471
27, 1, 0.814851425878749
12, 10, 1.712219908443729
15, 9, -0.932578394005819
3, 12, 1.091628448982316
23, 5, 0.3726453900268538
28, 0, -1.068997758321893
4, 12, 0.5874397910245915
