d = 19, symClass = D, r = 14.05262337109217, D = 16, Y = 0.1063273028969054
max of |f(z) - f(z^*)| for 100 points = 3.023803429869076e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -8.693046282814976e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -8.248957072964913e-14, 
confident_r = 14.0526233710921
3, 10, 0.4035206242656974
8, 9, 0.6982290162076692
22, 2, -0.4172435948230137
21, 3, 0.8854615452459329
4, 10, 0.09162513630424525
23, 1, -0.07107084560556322
20, 4, -0.621409013453369
12, 8, 0.2044342833720449
9, 9, 0.2393841390275752
17, 6, -0.38300085933554
5, 10, 1.035805664720718
-5, 11, 0.6630165985436366
15, 7, 0.4528018882021
24, 0, 1.357522465393654
-4, 11, -1.208988405618327
19, 5, 1.938322479182838
-3, 11, -1.593771647341269
-2, 11, 0.6086674788705349
13, 8, -0.2624784748180122
23, 2, 1.023697297584736
22, 3, -0.7607357623013202
10, 9, 1.778772203532907
-1, 11, -0.1612348427769517
6, 10, -0.2842107599396987
24, 1, 1.975108641107524
21, 4, -0.01691774408023711
0, 11, 0.06187817791423478
18, 6, -1.02668886468133
16, 7, 0.5495920491451591
1, 11, -0.4885674845079425
7, 10, 1.549697510987975
25, 0, -1.119121235996734
20, 5, -0.4638398662115303
11, 9, 0.1322948659994211
14, 8, -0.2089633025254126
2, 11, 0.4913663394928837
23, 3, -0.5653853936099816
24, 2, 0.1876837042645961
8, 10, 0.3821575241963853
3, 11, -0.5459142920197525
22, 4, -0.06052583158297447
17, 7, -0.3596413249501842
25, 1, 0.9022972831599478
19, 6, 0.09505157209906905
12, 9, -0.7532585012640896
15, 8, 0.03315191500751858
4, 11, -0.1007702742373409
21, 5, -0.4998369954143286
9, 10, -0.8599399696772494
26, 0, -0.9869609172446483
-6, 12, 0.07383467931336911
5, 11, -0.7504456414214328
-5, 12, -0.5658645444703794
-4, 12, -0.007994831509419783
13, 9, 0.3140602553945743
24, 3, 1.42338603344526
-3, 12, -2.362466700285803
25, 2, 0.5478856820401493
18, 7, -0.2588288775802193
20, 6, -1.144319119952051
10, 10, 0.2493705159426099
-2, 12, 1.412952746138065
23, 4, -1.277064804596161
16, 8, -1.042353441517187
26, 1, 0.4009694002242808
6, 11, -0.5789941877052444
-1, 12, 0.1784132941416129
22, 5, 0.1521211601020836
0, 12, 0.7181977970578874
14, 9, 0.4059040835817951
27, 0, 0.4572756191516305
11, 10, 0.1057321226561034
7, 11, -0.06967652805270809
