d = 19, symClass = D, r = 11.31599314417971, D = 16, Y = 0.09487368561553881
max of |f(z) - f(z^*)| for 100 points = 3.830491479561715e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 8.344713808838833e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.135203042679223e-13, 
confident_r = 11.315993144179
32, 0, 0.749430669426112
3, 14, -0.7439313524252653
23, 8, 0.07853369365238959
30, 3, -0.7139088836889996
21, 9, 0.1562726251658607
29, 4, -0.4051019750156607
16, 11, -0.2527770420598323
31, 2, -0.3478231171291009
9, 13, 0.7871109521998659
25, 7, 0.4006233020310397
13, 12, -0.2915856045837312
28, 5, 0.4025095822971698
19, 10, -0.6239424086906246
4, 14, 0.06388601270817819
32, 1, 0.9022109396064106
-7, 15, -1.285622338451016
27, 6, -0.212735333093356
-6, 15, -0.1706668454813798
-5, 15, -0.1934813557810735
10, 13, -0.8721412100375813
5, 14, 1.143761103634912
17, 11, 0.7390564498736955
-4, 15, 0.6815073382564445
14, 12, 0.316492336391107
22, 9, 0.5837205179370031
24, 8, -0.1848971663361615
33, 0, 0.1382655688948141
-3, 15, 0.2052197861475558
31, 3, -0.01078647372782023
-2, 15, 0.4418178639532376
30, 4, 0.3960345325479083
20, 10, -0.2309719285975733
6, 14, -0.07178328665206085
26, 7, 0.8098757760533104
32, 2, 0.02168917184311581
11, 13, 0.8894344411337565
29, 5, -0.1506585570608557
-1, 15, 0.6081736301428625
0, 15, 0.6428018717896452
15, 12, -1.060103295140485
33, 1, 0.1252178024145228
18, 11, 1.118476919011306
7, 14, 1.625692931910607
28, 6, 0.4293020892667304
23, 9, 0.3159742794575816
1, 15, -0.8596576636793136
25, 8, -0.8146142532105392
12, 13, 0.03555874231627038
21, 10, 0.5296989244329889
34, 0, 0.02943001026307198
8, 14, -0.2407347328475171
2, 15, -0.3263055588607092
27, 7, 0.3496248395783241
32, 3, 0.780308343933521
31, 4, -1.056134111676374
16, 12, -0.3369221705391841
33, 2, 0.8515566468635861
30, 5, -1.123439101304626
19, 11, 0.725589677790987
3, 15, -0.0852661750157892
13, 13, -0.4559794300258823
9, 14, -0.2452578721289813
34, 1, 1.547398307229719
29, 6, -1.531796517689153
24, 9, -0.1901660623019905
4, 15, -0.6823216510789336
26, 8, 0.1089312375930263
22, 10, -0.05254515637592492
17, 12, -0.6099637641487653
-8, 16, -0.1834166210721947
-7, 16, 0.9619791859719125
10, 14, 0.1659536602967229
-6, 16, -0.386481818025395
14, 13, 0.4664266266849111
35, 0, -2.571326992401055
28, 7, 1.804885957254592
20, 11, -0.3966618759586359
5, 15, -0.983563914419784
-5, 16, 1.77744362985075
32, 4, -0.1783205071179292
-4, 16, -0.6262006251581024
33, 3, 0.2707942331716829
31, 5, 0.2443406857042834
-3, 16, 0.008370189762826542
34, 2, 0.1247148715965127
6, 15, 0.297314317428744
-2, 16, 0.1521327833817066
25, 9, -0.3716587872074963
11, 14, 0.9673092806352787
23, 10, 0.5782749426542738
30, 6, 0.01202442747808296
18, 12, -0.1405449820418016
35, 1, 1.109382394641376
27, 8, -0.9916846317330222
15, 13, 2.115306048571275
-1, 16, -1.355339928598314
21, 11, -0.4858429402293378
7, 15, 0.5920020127846942
0, 16, 0.3232870018387732
29, 7, 0.07342678048556678
12, 14, 0.03301221828126853
36, 0, 0.7071995257754589
1, 16, -0.4403483612619385
33, 4, 0.3758580795040261
34, 3, -1.006483452436375
32, 5, -0.005091480854352752
8, 15, 0.3399156885974638
19, 12, 0.1388420482196097
16, 13, 0.1297705536242355
35, 2, -1.390673820975973
26, 9, 1.582657188556711
24, 10, 0.1586563172419364
2, 16, 0.1687464350950399
31, 6, -0.938174489474032
28, 8, 1.001897646517239
22, 11, -0.4891836795772652
13, 14, -0.2141873748279569
36, 1, -0.6254724469036137
3, 16, -1.404878429494077
9, 15, -0.09263899781967766
30, 7, 0.9990006165606033
17, 13, -0.04791192002061914
20, 12, -0.3001583133681827
4, 16, 0.03349716197892939
37, 0, 0.191191301091397
34, 4, -0.08804058398889401
14, 14, 0.05624519451640736
-8, 17, -0.4530694885707611
35, 3, -0.05551322174293382
25, 10, 0.6891526721992167
10, 15, -1.700858740618354
-7, 17, 1.72401013177677
27, 9, -0.265220022479638
33, 5, -0.3369551244665373
-6, 17, -0.2275104585256645
5, 16, -0.06957409645308764
-5, 17, 0.1347520606734063
23, 11, 0.1253436594102403
36, 2, 0.1372994200701556
