d = 19, symClass = D, r = 19.00621499008057, D = 16, Y = 0.1302219288357424
max of |f(z) - f(z^*)| for 100 points = 4.055933366942099e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.796702090028361e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -4.376832229979755e-12, 
confident_r = 19.0062149
22, 7, 1.144237225057057
18, 9, 1.435708851175914
3, 13, -0.001470088625982668
30, 0, -2.899010990614334
24, 6, 0.4780248949959641
9, 12, 0.6010625368897868
28, 3, 1.596988810584764
4, 13, 1.649180473754273
16, 10, 0.5797843863655703
27, 4, 0.4734344856787885
13, 11, -0.6393995009872422
29, 2, -1.000548887308063
21, 8, -0.1715700669227389
26, 5, 0.001184798106550385
-7, 14, -0.03070468503745678
-6, 14, 1.709414303593416
30, 1, -0.8893893486870936
23, 7, 0.9328377990783371
5, 13, 1.183383455141895
-5, 14, -1.010264891521957
19, 9, 1.653076967083777
10, 12, -1.034865316247294
-4, 14, 1.024254653341142
-3, 14, -0.3558017129670643
25, 6, 1.276820609603551
14, 11, -1.196173705050871
-2, 14, -0.8969131750242019
17, 10, 1.069663407951811
6, 13, -1.416504601927866
31, 0, -1.050040823546526
-1, 14, -0.2614674323977469
29, 3, 1.41908634182024
11, 12, -0.6688201185357405
28, 4, 0.5921546745314826
30, 2, 1.669183896622614
22, 8, -1.660632375750768
0, 14, -0.1108086474046031
20, 9, -0.1732631542767626
7, 13, 0.04670215339468824
27, 5, 0.1430200393547288
24, 7, -0.2625155777969588
15, 11, -1.224710205441262
1, 14, 0.9677012227634605
31, 1, -0.3468336050907581
18, 10, -0.3212132020907066
12, 12, -1.478310970515395
26, 6, -0.3260419030435646
2, 14, 0.06468208700432988
8, 13, -0.6921012656521038
32, 0, 0.5055051045296342
3, 14, 0.5990285298647829
23, 8, 0.3170060474499062
30, 3, -0.6876976224141244
21, 9, 0.7180602185789544
29, 4, -0.6951897635347677
16, 11, 0.4883692626861813
31, 2, -1.303869238307343
9, 13, 0.6479542729127832
25, 7, 0.00834922869286968
13, 12, -0.03170239189876924
28, 5, -1.083143703518263
19, 10, 0.4420833046804615
4, 14, -2.12079855089975
32, 1, -0.4152799591630049
-7, 15, -0.3594932695401499
27, 6, -0.790509027146495
-6, 15, 1.306835298762971
-5, 15, 1.004055774212288
10, 13, -0.3155807795228431
5, 14, -0.01554156364358952
