d = 19, symClass = D, r = 23.9851670301016, D = 16, Y = 0.1410249462052963
max of |f(z) - f(z^*)| for 100 points = 1.761180090653625e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -5.584421813864537e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.251887482567327e-12, 
confident_r = 23.9851670301016
23, 0, -0.6246934419589817
11, 8, 0.1824296876944927
16, 6, 0.1487666882540433
18, 5, 0.2046920608395564
14, 7, 0.2249830573608713
3, 10, -0.5888529590650046
8, 9, 0.01557402328646692
22, 2, 0.2328649466015389
21, 3, 0.05729010564801065
4, 10, 0.2924160389448811
23, 1, 0.7698028478267716
20, 4, -1.060645154969179
12, 8, -0.3421184198014363
9, 9, -0.7236008805248312
17, 6, 0.4683604170357051
5, 10, 0.09946133110817619
-5, 11, -1.29138562023951
15, 7, 2.166533613905623
24, 0, -0.01827264468792517
-4, 11, 0.3272156798102965
19, 5, -0.4520728268249011
-3, 11, 0.3377897557105763
-2, 11, -0.4612837936134823
13, 8, 1.373780222462191
23, 2, 0.4153487206466374
22, 3, 0.110634299386743
10, 9, 0.3304260283008509
-1, 11, 0.1299204963881787
6, 10, 0.003221620735325972
24, 1, 0.5980379987671316
21, 4, -0.920484822528281
0, 11, -0.04235957140854357
18, 6, 0.00315140380957134
16, 7, -0.1039191700359286
1, 11, -0.1249036701023142
7, 10, 0.9535060333875089
25, 0, -2.621753286929788
20, 5, -0.03227982180446012
11, 9, 2.166340736423653
14, 8, -0.1317384266881372
2, 11, 1.558025424780856
23, 3, -0.03164951349045451
24, 2, 0.149096002828656
8, 10, -0.001652775370480129
3, 11, -0.6867710895571516
22, 4, 0.1540477100925476
17, 7, -0.6149298051708081
25, 1, -0.00070946445540308
19, 6, -1.2849302823895
12, 9, 0.0312028860468013
15, 8, 0.3786011080627423
4, 11, 1.173749812027262
21, 5, 1.094042072113665
9, 10, 0.4018019769373605
26, 0, -0.2619587475262818
-6, 12, 0.009919777072976492
5, 11, 0.9340761581108866
-5, 12, 1.495823427320909
-4, 12, -0.05492392086160993
13, 9, 1.245878415469386
24, 3, 0.008918711026926365
-3, 12, 0.03537554013398596
25, 2, 1.295029705833864
18, 7, 1.756273730649234
20, 6, -0.02855132047910789
10, 10, 0.02629361060638176
-2, 12, 0.2599055594727319
23, 4, 0.1032727814575644
16, 8, -0.2385492792210987
26, 1, -0.5805305189964365
6, 11, -0.7469943350950521
-1, 12, 0.07956646740912565
22, 5, -0.697892556943205
0, 12, -0.04676820501288753
14, 9, 0.3209300175513905
27, 0, -0.09661267190938869
11, 10, 0.04702773068100567
7, 11, -0.008408902224938208
1, 12, 0.5346207813246576
19, 7, 0.5861710457315733
25, 3, 1.434677382923122
17, 8, -1.401060408771505
21, 6, -0.003810203087003317
26, 2, 0.03607287317438795
2, 12, 0.04621024676606729
24, 4, 0.2491680046131604
8, 11, 1.668032671981888
27, 1, 0.2775712854219566
12, 10, 0.04173445039548392
15, 9, 0.01817930190817612
3, 12, 0.01470497252802803
23, 5, 0.21312242265953
28, 0, -0.3431355343717646
4, 12, 0.2929537375887919
20, 7, -1.030132373384405
9, 11, -0.3445320106986547
18, 8, 0.2315317224763607
22, 6, 0.07660821686109458
26, 3, -0.09088119724942702
13, 10, -0.08431708203938752
27, 2, -0.395660907521402
-6, 13, 1.210367930208958
25, 4, 0.4187214347321327
16, 9, -0.4359678183070612
5, 12, -0.04348844442220121
-5, 13, 1.599275696865453
-4, 13, -0.5577912116979384
10, 11, 0.7605383279694637
-3, 13, 0.8469190087898547
28, 1, 0.06078087613964703
24, 5, 0.6694321930055981
-2, 13, 0.4883478687839919
6, 12, 0.004915764290707254
21, 7, 0.1206349813613886
19, 8, -0.07929003310113303
-1, 13, -0.1266954457197888
14, 10, 0.1295026369540155
29, 0, -1.766024873538723
0, 13, -1.366743817172259
23, 6, -0.461836031030208
11, 11, -0.03059384798536128
17, 9, 0.2289514955752492
7, 12, -0.09344420241442633
