d = 43, symClass = D, D = 13.867188
6, 7, 0.3938598915699075
23, 2, -0.2360923765831436
25, 0, -0.5586499025466445
7, 7, 0.3651241796972247
13, 6, -1.68034895301745
22, 3, -1.074590077664631
17, 5, -1.074590077666505
20, 4, -0.1077559207359615
8, 7, -0.683631430735697
25, 1, 0.1562217842373415
24, 2, -1.824490891852768
26, 0, -0.1140150636163749
14, 6, 0.8539808315289215
9, 7, 0.8784349174064404
-4, 8, 0.04258636178475426
-3, 8, -0.1390025323778576
18, 5, -0.1390025323761732
-2, 8, -0.0341388436433884
23, 3, -1.498452944281916
-1, 8, -1.4984529442838
21, 4, -1.249292491628175
0, 8, 0.8400552046049425
10, 7, -1.191438677323508
15, 6, 0.1061419624636997
1, 8, 0.07618536338923043
26, 1, 0.07618536338881365
25, 2, 1.878661240987152
2, 8, 0.3151197625639073
27, 0, 0.6653971224805363
19, 5, 0.5922055954395766
11, 7, 0.9062897204220092
3, 8, 0.9062897204222405
24, 3, -0.2769648488083755
22, 4, 0.6921703008360572
16, 6, 0.692170300835711
4, 8, -0.02461673442493661
27, 1, -0.4517306723575199
12, 7, -0.4517306723574642
5, 8, -0.2199132496521297
26, 2, -0.1219523597189234
20, 5, -0.04687555587564463
28, 0, -0.06700791548666606
17, 6, 1.297298965784741
6, 8, -1.556546745778991
23, 4, 0.7320945613217745
25, 3, -0.3423201057286236
13, 7, -0.3423201057274032
7, 8, -1.092475870373079
21, 5, 0.3065227347579146
28, 1, -1.126858132991192
27, 2, 1.085172247990693
18, 6, 0.3711258169370875
8, 8, 0.353138103801612
14, 7, -0.9318115196383701
29, 0, 1.447898562434343
24, 4, 0.02550986885915051
26, 3, -1.180472379056758
9, 8, -1.011718812120727
22, 5, -0.2440415604647832
15, 7, -0.2440415604651053
-4, 9, 0.3809814302850538
19, 6, 0.3809814302853745
-3, 9, -0.2504754750919381
-2, 9, 0.04210669677851276
29, 1, 1.567433907156456
-1, 9, 1.161674379935452
28, 2, 0.2909710054839232
10, 8, 0.2909710054836139
0, 9, -0.7134721509116593
30, 0, -0.2283473910914533
1, 9, 0.3547400258008346
25, 4, 0.3547400258007528
16, 7, -1.01851451654489
27, 3, 0.1134575508506212
2, 9, 0.6367974769624837
11, 8, 0.6367974769614978
20, 6, 1.261478499834326
23, 5, 0.1633016567938333
3, 9, -0.2203657655303062
30, 1, -0.7651378192998471
4, 9, 1.847259868352652
29, 2, 1.847259868353207
12, 8, 0.08290201635210813
17, 7, -1.401955999212014
26, 4, -0.4182474274831477
5, 9, -0.9950213724833396
31, 0, 0.00497862751715734
21, 6, -0.1449771625136974
28, 3, -0.5090446755996052
24, 5, 1.164252809699508
13, 8, -1.327086915271858
6, 9, -0.5361593407541002
18, 7, -0.7300580471665107
7, 9, 1.152834755067938
31, 1, 1.152834755068605
30, 2, 0.4566451332730193
22, 6, -0.8532923397276466
14, 8, -0.8532923397284354
27, 4, 1.122100415070739
32, 0, -0.1257764222618959
25, 5, -1.136587519257038
29, 3, -0.1025889411069661
8, 9, -0.10258894110667
19, 7, 1.084589785242968
15, 8, 0.498911168697648
9, 9, -0.2999257681032129
23, 6, 1.574382926642816
32, 1, 0.5758931188069327
31, 2, 0.5758931188072847
28, 4, -0.06991805227379162
-5, 10, 0.4491922760577414
-4, 10, -0.03388468617108124
20, 7, 0.2676936614278131
-3, 10, 0.2676936614277222
26, 5, 0.422004705489134
10, 9, 0.4220047054887127
-2, 10, -0.3613152767205943
16, 8, -0.9012225742283074
33, 0, -0.2366715938786609
30, 3, 0.1184122601598978
-1, 10, 0.8726414484764495
0, 10, 0.5250162363334131
11, 9, -0.2608615585529543
1, 10, -0.2608615585529973
24, 6, 0.02425265328473349
2, 10, 1.574614538342783
21, 7, 1.148716769296257
17, 8, 0.5402551651806718
32, 2, -1.752135871888107
33, 1, 0.5066648858171912
29, 4, 0.5066648858175183
27, 5, -0.9722798577547008
3, 10, -0.9722798577544817
12, 9, 0.675996594612992
31, 3, 0.04176119130754883
34, 0, -0.7425696512631804
4, 10, 0.2254262438851387
25, 6, 0.9693392173738934
18, 8, -0.1733829031961728
5, 10, -0.2596523042305819
22, 7, 0.333331437920772
13, 9, 0.3333314379206254
30, 4, -0.3587026628596028
6, 10, -0.3587026628593007
33, 2, 1.232737356056633
28, 5, 1.232737356055898
34, 1, -0.01849030780531891
14, 9, -1.577535005835657
19, 8, -0.14931499136479
32, 3, -0.437315710086117
7, 10, -0.4373157100860459
35, 0, -0.7067858537414745
26, 6, -0.4446051808147263
23, 7, 0.1059132234830405
8, 10, -1.522468002274791
15, 9, 0.0901429592272545
31, 4, 0.2420909993214639
29, 5, 0.2420909993212107
20, 8, 0.01882721407789134
34, 2, -0.9032963852154675
35, 1, 0.1207163475807935
9, 10, 0.1207163475808855
24, 7, 1.623062105436353
33, 3, -0.09949079230661852
27, 6, -0.09949079230571549
16, 9, 0.3060125825033984
36, 0, 0.0550426447722774
10, 10, 0.2207036360801993
-5, 11, -0.1352335636158154
-4, 11, -0.1678701995653329
-3, 11, 0.1991994937208195
21, 8, -0.1096596457424482
-2, 11, -0.109659645742574
