d = 19, symClass = C, r = 22.46147815535798, D = 16, Y = 0.1423301965147426
max of |f(z) - f(z^*)| for 100 points = 3.962163930282259e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -8.239631199558062e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 7.83484388477973e-13, 
confident_r = 22.46147815535798
8, 15, 0.3630919419551037
19, 12, 0.3630919419545941
16, 13, -0.363091941955789
35, 2, -1.771973559617799
26, 9, 1.771973559615722
24, 10, -1.692433191392771
2, 16, -1.692433191392805
31, 6, -1.358322177542058
28, 8, 0.6993105426878548
22, 11, 0.3650101732010932
13, 14, -0.8315993722871849
36, 1, -0.698852554727332
3, 16, 0.698852554727496
9, 15, -1.967408518035255
30, 7, -0.09404316942463496
17, 13, 0.09404316942567657
20, 12, -2.651745738620479
4, 16, 2.651745738623036
37, 0, 1.162343698384801
34, 4, -1.484699485155815
14, 14, 0.5574195189299994
-8, 17, -0.6845550730117027
35, 3, 1.275000495101058
25, 10, -2.143842986257765
10, 15, 2.143842986258395
-7, 17, -1.275000495101721
27, 9, -1.476326870008408
33, 5, 0.2395240777326708
-6, 17, -0.2395240777333201
5, 16, -0.3582867783994495
-5, 17, -0.358286778401519
23, 11, 3.549663966614515e-13
36, 2, 0.6232990284590767
29, 8, 0.1756767599085685
-4, 17, 0.1756767599101916
32, 6, 0.8127591508833274
18, 13, 0.3779337182176553
-3, 17, 0.3779337182188546
37, 1, -0.7455579619962989
11, 15, -0.7455579619968613
6, 16, 1.750520911776947
21, 12, 0.1877350518792544
15, 14, -0.04676314988141972
-2, 17, 0.04676314988287118
31, 7, 0.9451122037938219
-1, 17, -0.4109193254197241
26, 10, -1.367297487887618
28, 9, -0.0001478469298268666
7, 16, 0.0001478469296805614
38, 0, -1.46824107721336
35, 4, 0.9649988651042297
24, 11, -0.9649988651030896
0, 17, 2.827113317946819
36, 3, 1.23821924255404
12, 15, -1.238219242554311
34, 5, -0.4467750561304206
19, 13, -0.4532835632951032
30, 8, -3.889446555819239
16, 14, 3.889446555818843
37, 2, -4.338833423799417e-13
1, 17, 1.05973305871126e-13
33, 6, 1.626028521855317
22, 12, 1.505515144741232
8, 16, -0.3023635459467957
2, 17, -0.3254252806786391
38, 1, -1.278046622511459
13, 15, -0.0941409214736155
32, 7, -1.296726165905731
27, 10, -0.1995823751844738
25, 11, 0.2333326923551407
20, 13, -0.233332692352807
9, 16, -0.2333326923551662
3, 17, 0.2333326923558756
29, 9, -0.1006788506465715
17, 14, -0.1006788506480448
36, 4, -5.124451994704964e-14
39, 0, 2.454816826660895
37, 3, -0.7052010919462323
35, 5, 0.9910003213801871
23, 12, -0.7052010919455262
31, 8, 0.5263406328952158
4, 17, -0.5263406328919061
14, 15, -0.6695889067119071
-9, 18, -1.033280411079581e-14
38, 2, -0.8056602358499803
34, 6, 0.8056602358514651
10, 16, 0.8056602358507201
-8, 18, -0.8056602358515812
-7, 18, -1.45603985139913
-6, 18, 0.4318993398451914
5, 17, -0.04567264557719557
-5, 18, -0.04567264557514111
18, 14, 0.8646577969428763
21, 13, 1.377516453035237
28, 10, 2.392326107243907
-4, 18, -2.392326107245331
39, 1, -1.830085850954128
33, 7, 1.830085850954828
26, 11, 1.167277888136009
30, 9, -2.310441010769014
15, 15, 3.246801246255409
-3, 18, -2.310441010766954
11, 16, 2.276225407473831e-13
6, 17, 1.953713116309214
24, 12, -0.7995050707895527
-2, 18, 2.539051315063602
37, 4, 0.3935825809887607
40, 0, -0.7928437097906661
32, 8, 0.5641917947216989
36, 5, -1.057485102293604
38, 3, -0.5017322046178303
-1, 18, 0.5017322046181002
19, 14, 0.07206230280572036
7, 17, -0.6157941886945331
35, 6, 1.20679300340439e-12
22, 13, -1.612833504254888e-12
12, 16, 0.5605027634621357
39, 2, -0.1876154694369685
0, 18, -3.275803499985129
16, 15, -0.7284060972640289
29, 10, -0.4101604776592303
27, 11, 0.4101604776589577
34, 7, 0.6191555542422232
1, 18, -0.6191555542406015
40, 1, 2.146448805369995
31, 9, -2.146448805365863
25, 12, 2.146448805368415
8, 17, -2.146448805369553
13, 16, 0.3123987050812624
20, 14, -1.654309374817077
2, 18, 1.654309374816627
17, 15, 0.8657259291186422
33, 8, -0.5218684308280015
23, 13, 0.5218684308263575
38, 4, 1.281447747226287
37, 5, 1.881215956883732
9, 17, -1.881215956883758
41, 0, 1.95032106404668
39, 3, 0.8523786426694336
3, 18, 0.8523786426695487
