d = 19, symClass = C, r = 24.62833458569262, D = 16, Y = 0.1400295364631172
max of |f(z) - f(z^*)| for 100 points = 1.002731231380949e-11; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.498312750593868e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.633759959598137e-13, 
confident_r = 24.628334585
8, 15, 0.1203389045775224
19, 12, 0.741596428089185
16, 13, 0.1194899733252506
35, 2, 0.8447901478226453
26, 9, -0.2668059539226407
24, 10, 0.1149848705472623
2, 16, 0.4074713837852733
31, 6, -1.02205332201279
28, 8, -0.4836090498001237
22, 11, 0.5395438334892604
13, 14, -0.3484514875037379
36, 1, 0.2526234037483009
3, 16, -0.5775261568477106
9, 15, -0.6044503189045143
30, 7, 0.1148831643254475
17, 13, 1.368141311866616
20, 12, 0.799092134869574
4, 16, 0.6100589041008859
37, 0, 0.4881262563046418
34, 4, -0.7573568218975215
14, 14, 0.6429571431251715
-8, 17, -0.2925803588331434
35, 3, 0.37260489317583
25, 10, 0.6645496205241687
10, 15, -0.2962568323540434
-7, 17, -0.4518236927393768
27, 9, -0.1492524949641092
33, 5, -0.02590044351410657
-6, 17, -0.2708075426711496
5, 16, 0.3348658836821395
-5, 17, -0.1229013711482119
23, 11, 0.03849639932300691
36, 2, 0.8237419289855741
29, 8, 0.4311497574318638
-4, 17, -0.787124813875958
32, 6, -1.795704822159101
18, 13, -0.556923324326283
-3, 17, 0.2900492967424597
37, 1, 0.2566174133345454
11, 15, -0.6433367929845828
6, 16, -0.1673388448960549
21, 12, 0.04208151985395256
15, 14, -1.259421567657715
-2, 17, 0.489632023885633
31, 7, 0.2769168591394414
-1, 17, -0.1611795317184471
26, 10, 0.6807573244456837
28, 9, 0.396621938956813
7, 16, 0.262902470638563
38, 0, 1.067164684207285
35, 4, 0.7103576688530816
24, 11, 0.416474047488111
0, 17, -0.6570598428242055
36, 3, 0.4101635353714402
12, 15, 0.008356037933553915
34, 5, 0.2522829931304963
19, 13, 0.03987838158072214
30, 8, -0.2841962010826675
16, 14, 0.03776084760063209
37, 2, 0.04478649349609006
1, 17, -0.2254479523271427
33, 6, 0.6936806342495643
22, 12, -0.9149525134108768
8, 16, -0.2593686912781845
2, 17, 0.1417920285552115
38, 1, 1.068733544019443
13, 15, 0.2106466726548025
32, 7, -0.8167093781262189
27, 10, -0.9251176832750004
25, 11, -0.04008609835877765
20, 13, -0.1815580319333287
9, 16, 0.103450631554153
3, 17, -0.7164371867423337
29, 9, 0.3839467669103014
17, 14, -0.6110672157377861
36, 4, 0.2631498524839059
39, 0, 0.5570827106427174
37, 3, -0.6196344693792246
35, 5, 0.1664439733670239
23, 12, 0.8018856827157781
31, 8, 0.5259152096965223
4, 17, 0.1134150526231609
14, 15, 0.0984342731831902
-9, 18, -5.109758518845846e-15
38, 2, -0.1446023418344981
34, 6, -0.1420991562288343
10, 16, 1.128417048615278
-8, 18, 0.3147918436671549
-7, 18, 0.6067417581520278
-6, 18, 0.4227629831636915
5, 17, 0.3691464287579119
-5, 18, 0.05921889180730013
18, 14, -0.2786063403255196
21, 13, 0.6031546648400983
28, 10, 1.170492488768672
-4, 18, 0.8091918359675766
39, 1, 0.6585999301261456
33, 7, 0.5367040209409623
26, 11, -0.2920295261591041
30, 9, 0.2140126824289931
15, 15, -0.2505992696541146
-3, 18, -0.4884114487646545
11, 16, 0.1680606337333997
6, 17, 0.2562204669442072
24, 12, 0.1975796987701773
-2, 18, 1.453806190399271
37, 4, -0.8314716077495977
40, 0, 0.3235260915752462
32, 8, 0.177125736494809
36, 5, 0.8495262322735113
38, 3, -0.744166809328339
-1, 18, -0.01851938449859676
19, 14, -0.9960974534899613
7, 17, 1.001251608501611
35, 6, -0.1543032571434433
22, 13, 0.3647318000991679
12, 16, 0.2683422173709258
