d = 19, symClass = C, r = 18.7456983246171, D = 16, Y = 0.127163309513602
max of |f(z) - f(z^*)| for 100 points = 4.065192626967473e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.034172747438333e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.353672812205332e-12, 
confident_r = 18.745698324
19, 1, 0.9504872504492275
17, 3, -0.9504872504491763
5, 8, -0.9504872504491008
-4, 9, 0.9504872504490951
-3, 9, -0.6403745677978413
9, 7, -1.034877155140937
14, 5, 1.242236296648387
-2, 9, -1.242236296648649
12, 6, -0.6783988827631964
-1, 9, -0.0333009027307453
20, 0, -1.328935058044935
16, 4, 0.5872988724601153
6, 8, 0.08911798798970021
0, 9, -1.952116261029334
10, 7, 1.628798798246145
1, 9, -1.628798798246299
19, 2, -0.7328968982687819
18, 3, 2.889166110285722
20, 1, -0.7850156067055041
15, 5, 1.776326858064946
7, 8, -0.785015606705445
13, 6, -1.522420323915431
2, 9, -1.522420323915238
17, 4, -2.934604807217956e-12
21, 0, 1.090926831968833
3, 9, 0.4769723966909588
11, 7, 1.179277419672245
8, 8, 0.7384345729007912
4, 9, -0.9214338993382889
20, 2, 0.8526414600101319
14, 6, -0.8526414600101355
16, 5, 0.7689787652766468
19, 3, 0.5370251852785967
21, 1, -1.200422116214894
12, 7, -0.3476698762564439
9, 8, 0.3476698762564865
5, 9, 1.403050531559235e-13
-5, 10, 7.523109054058441e-16
18, 4, -0.4203050594427326
-4, 10, -0.4203050594423761
-3, 10, -0.5059682686713644
22, 0, -0.3683139017120078
-2, 10, 0.139981105559967
-1, 10, -0.4403116808979786
15, 6, -1.786593310878381
6, 9, 1.786593310878276
17, 5, 1.141566596659393
10, 8, 0.1415964258372008
0, 10, 0.5388160487970748
21, 2, -1.262364915616937
20, 3, 0.2346961430346021
13, 7, -0.2346961430346386
22, 1, 1.335475486055669
1, 10, -1.335475486055659
19, 4, 1.568575759498439
7, 9, 1.568575759498529
2, 10, -0.4560385175188209
23, 0, 1.570320710238816
11, 8, -0.5703207102386207
16, 6, 8.841936461463748e-14
18, 5, 0.2589561523428401
14, 7, 0.5922821044872971
3, 10, -0.2589561523429433
8, 9, -0.8493388750119167
22, 2, -0.2548241330908112
21, 3, -2.861633299937896
4, 10, -0.2834241952872782
23, 1, -0.2331193808263164
20, 4, 0.8281062713210725
12, 8, -0.8281062713208098
9, 9, 1.216432442144133
17, 6, 0.1303678802267763
5, 10, 2.245468805652141
-5, 11, 0.9923444262550724
15, 7, -0.9923444262547626
24, 0, 1.388006275560937
-4, 11, -0.5128880079617049
19, 5, -1.014961936161829
-3, 11, -1.014961936161809
-2, 11, -0.7356693470107127
13, 8, 0.609340127983213
23, 2, -1.106891869677347
22, 3, 1.106891869677239
10, 9, -1.106891869677267
-1, 11, 1.106891869677399
6, 10, -0.8737259039200448
24, 1, 0.3686464013973783
21, 4, -0.3686464013974283
0, 11, -0.9699708679086761
18, 6, -0.7900308051184552
16, 7, -0.647961451702191
1, 11, -1.199103365018675
7, 10, 1.67723383602877
25, 0, 0.6270995815682261
20, 5, 0.3729004184320496
11, 9, -1.164796612114754
14, 8, -0.8985223019708649
2, 11, -0.4370877743208929
23, 3, -0.6734978828395332
24, 2, -0.5313109440145551
8, 10, 0.5313109440143648
