d = 19, symClass = D, r = 13.27979030545185, D = 16, Y = 0.09778035861629276
max of |f(z) - f(z^*)| for 100 points = 2.389866082808112e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 1.330463517135172e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 1.616970446427501e-13, 
confident_r = 13.27979030545185
15, 9, 1.349805062760584
3, 12, -1.695725548781593
23, 5, 0.1538005820515631
28, 0, 0.4010184930481638
4, 12, 0.4720503927892736
20, 7, 2.867240024095167
9, 11, -2.760890627514928
18, 8, 0.315117086847949
22, 6, -0.1442859978543875
26, 3, -0.02770292421409595
13, 10, 0.8569063700170131
27, 2, 0.6100083434088081
-6, 13, -0.445795968229699
25, 4, -0.2157981683926008
16, 9, 0.2385603676841702
5, 12, -0.2110315319077264
-5, 13, 0.2175740833164409
-4, 13, -0.4167913565015338
10, 11, -1.132588042069648
-3, 13, 1.697336153594428
28, 1, 0.5146018507057366
24, 5, 0.6272542128986873
-2, 13, -0.3916687189363853
6, 12, -0.06569366515446858
21, 7, -0.2529460486605701
19, 8, -0.4537952231510805
-1, 13, -0.1417049031249272
14, 10, 0.03571843806886457
29, 0, 0.01930929110587221
0, 13, -0.04819553458325767
23, 6, 0.007823866349508556
11, 11, 0.04300686115677644
17, 9, 0.2066300744903281
7, 12, 0.640477003582352
27, 3, -0.2756594102354157
1, 13, 0.0237035053918855
28, 2, -0.3063272583292176
26, 4, 0.3855886023245659
29, 1, 1.564928607521016
25, 5, -2.327455757508822
15, 10, 2.028453166648533
2, 13, -1.0350661093868
20, 8, 0.82165169640608
8, 12, -0.882984572028064
12, 11, -0.01568055112391779
22, 7, -0.9322134908509397
18, 9, -0.06154246756272527
3, 13, 0.6607811392288391
30, 0, 0.9943716179053936
24, 6, -0.6906287500783478
9, 12, 0.4841004301101993
28, 3, -0.2460660641419602
4, 13, 0.02395716046322351
16, 10, -0.2308648644953735
27, 4, -0.503027993041659
13, 11, 0.5760828189196515
29, 2, 0.3747294610639457
21, 8, -1.272993905923668
26, 5, -0.4745460885906638
-7, 14, -0.4031386484066465
-6, 14, 0.05037099209335504
30, 1, -0.5896261118834025
23, 7, 0.8261877755864104
5, 13, -0.4469023953264475
-5, 14, 0.2877132658601136
19, 9, 0.08882008755429203
10, 12, -0.2441046198116909
-4, 14, 0.3458811701886804
-3, 14, 0.1875272871841799
25, 6, -2.003590284263797
14, 11, 1.627020163832642
