d = 19, symClass = D, r = 16.59929124526635, D = 16, Y = 0.1232745769405038
max of |f(z) - f(z^*)| for 100 points = 1.664446358518035e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -4.590772206825022e-14, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -2.030493828630853e-14, 
confident_r = 16.59929124526635
1, 11, -1.337115750890664
7, 10, -0.2164092391748505
25, 0, -0.9020743316829456
20, 5, 0.1587606764454419
11, 9, -0.05790139950345433
14, 8, -0.600653138232961
2, 11, 0.02429654584411758
23, 3, 0.3356288058463893
24, 2, 0.0613176887763063
8, 10, -0.04361302291877304
3, 11, -0.2406586647136001
22, 4, 0.0355750732899056
17, 7, 1.211688546489568
25, 1, 0.6860162847204182
19, 6, 0.9879580557860439
12, 9, -0.420529599623282
15, 8, 0.03916035450266146
4, 11, -0.04519160536946366
21, 5, 0.8794215786885482
9, 10, -0.8872904940234783
26, 0, -0.6236431654179801
-6, 12, 0.03973965446306255
5, 11, 0.6169021461897458
-5, 12, 1.189156613060443
-4, 12, 0.6506788630448562
13, 9, -0.7240498994631611
24, 3, 0.1154118773490464
-3, 12, -0.1179065037207497
25, 2, 0.0194722465305519
18, 7, -0.8194415586717283
20, 6, 0.1591152677043658
10, 10, 0.002143572324361712
-2, 12, -0.1580719275622634
23, 4, 0.608088269424151
16, 8, 0.09475641841542554
26, 1, 0.2563614034536592
6, 11, -0.2522451485433589
-1, 12, -1.052084005540232
22, 5, -0.5315980228636892
0, 12, -0.2034277909268667
14, 9, 0.9244467856863133
27, 0, 0.7907524987527073
11, 10, -0.686887833132155
7, 11, -0.5498264233748867
1, 12, -0.1771120719669972
19, 7, -0.04116818820451475
25, 3, 0.7580052241122758
17, 8, -0.1906282535789332
21, 6, -0.02849546128769282
26, 2, 0.2499563033705655
2, 12, -0.3260345667495982
24, 4, -0.1659671865595059
8, 11, -0.2982001531296494
27, 1, 1.156376525029263
12, 10, 0.01868918903227785
15, 9, 0.4121907634457275
3, 12, -0.02554527133393911
23, 5, 1.391868172076798
28, 0, 0.07526389301690532
4, 12, 0.655044002650937
20, 7, 0.4100173065874705
9, 11, 1.064758645818484
18, 8, 0.3215737923462546
22, 6, 0.06891640468820226
26, 3, 1.123511260263576
13, 10, -0.8080653507870298
27, 2, 0.3581019981396046
-6, 13, -0.5612658817328635
25, 4, 0.1991858250068033
16, 9, -0.09210332877354721
5, 12, 0.08306112211899173
-5, 13, -0.2336136575314411
-4, 13, 0.5367383747422934
10, 11, -0.4982875199356834
-3, 13, 0.4109404984127841
28, 1, 0.1560460586855817
24, 5, 0.9260764255345948
-2, 13, -0.3886467226705421
6, 12, 0.1432111161210259
21, 7, -0.0715252444642826
19, 8, -0.610843477277996
-1, 13, -0.6341673917190492
14, 10, 0.009599398639922678
29, 0, 0.4057069644158137
0, 13, 0.7656115357580201
23, 6, 0.06451117821923896
11, 11, 0.01826723238357521
17, 9, -0.04820827946999019
7, 12, -0.1096183784833428
27, 3, -0.04878613215231968
