d = 19, symClass = D, r = 19.69382348721303, D = 16, Y = 0.1309949840992335
max of |f(z) - f(z^*)| for 100 points = 2.964784667769393e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -2.560174294785611e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 4.352074256530614e-14, 
confident_r = 19.693823487
31, 7, 1.642226306256418
-1, 17, -0.3751402757924516
26, 10, -0.5517491511362155
28, 9, -0.2067292957370071
7, 16, -0.2067292957369403
38, 0, -1.005977703287778
35, 4, 0.8533497383793376
24, 11, 0.8533497383793957
0, 17, -0.1086142211342907
36, 3, 0.183413696020435
12, 15, 0.183413696020443
34, 5, -1.093876887348832
19, 13, -0.2733722361362388
30, 8, 0.1378375383750469
16, 14, 0.1378375383749858
37, 2, 0.009478047476059457
1, 17, 0.009478047476011643
33, 6, 0.1194199672386694
22, 12, -0.4550613437102472
8, 16, 0.7691843098824331
2, 17, 0.7992736778168826
38, 1, -0.1729757136600935
13, 15, 0.5503438205855743
32, 7, -0.7710646665093684
27, 10, -0.2190497011291211
25, 11, -0.1916238503601012
20, 13, -0.1916238503598645
9, 16, -0.191623850360075
3, 17, -0.1916238503600421
29, 9, 0.1324166651192774
17, 14, 0.1324166651191881
36, 4, -0.1950641399221784
39, 0, -0.6205366930921912
37, 3, 0.004104809230718682
35, 5, -0.05090075855566194
23, 12, 0.004104809230804951
31, 8, -0.201144626174199
4, 17, -0.2011446261740247
14, 15, -0.5545768827085501
-9, 18, 0.0729492195755933
38, 2, -0.02659488985167138
34, 6, -0.02659488985142439
10, 16, -0.02659488985139444
-8, 18, -0.02659488985146711
-7, 18, 1.850418075698046
-6, 18, -1.906518053196452
5, 17, 1.134236921394449
-5, 18, 1.134236921394435
18, 14, 1.126822800130197
21, 13, -1.328103357317634
28, 10, -0.5021781794078113
-4, 18, -0.5021781794073202
39, 1, 1.295797583377896
33, 7, 1.295797583378235
26, 11, -1.221272090686945
30, 9, 0.01116180276421212
15, 15, -0.1384094109023955
-3, 18, 0.0111618027634643
11, 16, -0.04829014953077511
6, 17, 1.831558301779919
24, 12, -0.08645662219976999
-2, 18, -1.984003979395476
37, 4, 0.346929278900775
40, 0, -0.5804492767786747
32, 8, 0.04680939178424444
36, 5, 0.1969388218997009
38, 3, -0.07268143383082618
-1, 18, -0.07268143383050882
19, 14, 0.2421009542316319
7, 17, -0.6600804958798453
35, 6, -0.1350555324282516
22, 13, -0.1350555324282895
12, 16, -0.3653424752053608
39, 2, 0.7515224218079516
0, 18, -0.2046915743223807
16, 15, 0.5384614698379654
29, 10, -0.07480862009686109
27, 11, -0.07480862009683258
34, 7, 0.07685340831270224
1, 18, 0.07685340831254063
40, 1, 0.1627979474037676
31, 9, 0.1627979474038812
25, 12, 0.1627979474037392
8, 17, 0.1627979474038615
13, 16, -0.284343720985766
20, 14, 0.1354995541984635
2, 18, 0.135499554198254
17, 15, 0.4259249234548181
33, 8, -0.2445489148750968
23, 13, -0.2445489148749635
38, 4, 1.455412578605957
37, 5, 0.1441724585910101
9, 17, 0.1441724585909469
41, 0, 1.683836470218656
39, 3, -0.0598595167090575
3, 18, -0.05985951670899585
36, 6, 1.619721267292565
28, 11, -1.707187012789245
40, 2, -0.03056049745581981
