d = 19, symClass = C, r = 20.30581143574959, D = 16, Y = 0.133256895575791
max of |f(z) - f(z^*)| for 100 points = 9.564571357145724e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -1.720845688168993e-15, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 2.331357329410366e-12, 
confident_r = 20.3058114357496
1, 8, 0.1185586808694617
14, 4, -0.4407733994999151
10, 6, 0.4612228059425955
2, 8, 0.2194169190529472
17, 2, 0.960957217865411
7, 7, -0.3856580309942019
18, 1, -0.1080792871271834
16, 3, -0.4418404566148068
3, 8, 0.464228515551008
13, 5, -0.6416000187758044
19, 0, -0.1032254226816947
15, 4, -0.4924744026716805
8, 7, -0.6974126545673514
11, 6, 0.123097945778038
4, 8, -0.39451383772442
18, 2, -1.17855316271579
19, 1, -0.4448188134003916
17, 3, -0.2715568039562344
5, 8, 0.5292682994022732
-4, 9, 0.3414240399933737
-3, 9, 0.5797110807231549
9, 7, 1.221797478646072
14, 5, -0.3023438062590282
-2, 9, 0.6905037170239229
12, 6, -0.4981982502869775
-1, 9, -0.1855188632517254
20, 0, 1.729389624215968
16, 4, 1.221401504533371
6, 8, 0.5160045053491106
0, 9, -0.1513368848884457
10, 7, -2.021642469214853
1, 9, -2.370286447276009
19, 2, 0.6749366426984151
18, 3, 0.351361927866128
20, 1, 1.267724180189762
15, 5, 2.176121647715254
7, 8, 1.806098187371667
13, 6, -0.1685519420526483
2, 9, -0.1092828977145186
17, 4, -0.6721134157674102
21, 0, 0.4205320043714352
3, 9, 0.8384019943839535
11, 7, 0.7023969020079245
8, 8, -0.590861966884116
4, 9, 0.2258834013642429
20, 2, -0.829152810908759
14, 6, -0.6068572294212616
16, 5, -0.9240691378899515
19, 3, 0.2046656230952155
21, 1, -0.2488291404482531
12, 7, 0.2230518042695149
9, 8, 0.7851348882143944
5, 9, 0.9322147467879135
-5, 10, -4.874295320935563e-15
18, 4, -0.2670228659530666
-4, 10, -0.2812016132357661
-3, 10, 0.1796102380483046
22, 0, 0.1412170147184109
-2, 10, -0.3031579622364868
-1, 10, -0.6229466661365847
15, 6, -0.6689302932650488
6, 9, -1.062996314579447
17, 5, 0.04587584017747792
10, 8, 1.175446712890549
0, 10, 0.6517561514719086
21, 2, -0.2254941767250902
20, 3, -0.5831936889589201
13, 7, -0.1750432342222038
22, 1, -0.244712489818028
1, 10, 0.2199253560987368
19, 4, 0.2913623790108095
7, 9, -0.6320400071597997
2, 10, -0.5628513398681738
23, 0, 0.0469005564534553
11, 8, 0.1341617461926873
16, 6, -0.02455103168472027
18, 5, -0.4229843344775258
14, 7, -0.2038721820000257
3, 10, 0.3899233263525804
8, 9, 1.049313810163468
22, 2, -0.1183403370667525
21, 3, -0.3031940437915406
4, 10, -0.2661098495750472
23, 1, 0.7414575916148709
20, 4, 0.122971271062503
12, 8, -0.04933651362699281
9, 9, 0.3431123450602968
17, 6, 0.520778585876802
5, 10, -2.000539495906767
-5, 11, 1.980833546183741
15, 7, -0.8449749540745681
24, 0, -1.28958505860856
-4, 11, -0.4707652942852441
19, 5, -0.4409696160322558
-3, 11, -0.349479143311223
-2, 11, 0.2211914645766892
13, 8, 0.5297958046104642
23, 2, 0.4626923133724748
22, 3, 0.2402668013382074
10, 9, -0.1532184489985361
-1, 11, -0.3644288222312358
6, 10, 0.341251138862157
24, 1, 0.9595271775537672
21, 4, 0.7197345810515906
0, 11, -0.05585008287364712
18, 6, -0.5982633311574048
16, 7, -0.3863459102880574
1, 11, -0.4960842654261727
7, 10, 0.5618372052457015
25, 0, 3.586591403546468
20, 5, 3.232258583227168
11, 9, 2.070532548557992
14, 8, -0.3429756932073366
2, 11, -0.7533058553026042
23, 3, -0.409430812070864
24, 2, 0.2370381472700118
8, 10, -0.2669523922217197
3, 11, -0.8325286300878598
22, 4, 0.2976956815339383
17, 7, 0.5964881376120096
25, 1, 0.8548776454570423
19, 6, 0.4096721715997875
12, 9, -0.507047379371283
15, 8, -1.047053108235936
4, 11, -1.06647254089973
