d = 19, symClass = C, r = 22.44910099948589, D = 16, Y = 0.1362585204438096
max of |f(z) - f(z^*)| for 100 points = 4.344302695358238e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 6.494804694057166e-15, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -1.49213974509621e-13, 
confident_r = 22.44910099948589
1, 18, -1.333944544887955
40, 1, -0.4204898512726084
31, 9, 0.4204898512725225
25, 12, -0.420489851272456
8, 17, 0.4204898512725684
13, 16, 0.7447345172306735
20, 14, -0.2142286881602511
2, 18, 0.2142286881603116
17, 15, -1.716594078060082
33, 8, -0.4767138752364087
23, 13, 0.4767138752364908
38, 4, -1.167203163770356
37, 5, -0.2386301381016731
9, 17, 0.2386301381017971
41, 0, -1.541935383216495
39, 3, -2.888805453491463
3, 18, -2.888805453491427
36, 6, 0.6637913762782535
28, 11, 1.206589961181259
40, 2, -0.6087777855825917
30, 10, -0.1548825181190312
14, 16, -0.6087777855825773
26, 12, -0.5650753281152752
4, 18, -0.5650753281152107
35, 7, 0.2313572571473702
21, 14, -0.2313572571472076
10, 17, 0.3071186348109856
-9, 19, -0.3071186348108517
32, 9, -1.72267324432198
-8, 19, 1.722673244321994
18, 15, -0.5714673433891483
-7, 19, -1.516189362760087
41, 1, 0.1772390730194025
-6, 19, 0.1772390730195979
24, 13, -0.433773302541588
5, 18, -0.08860967446308635
-5, 19, -0.08860967446285785
15, 16, 0.473203638496407
-4, 19, -0.4732036384964253
34, 8, -9.476089034934032e-14
11, 17, 1.571711098105058
39, 4, -1.319761085766155
-3, 19, 1.319761085766302
38, 5, -0.5305147160786334
42, 0, -1.215269771678687
6, 18, 0.3652239207889271
40, 3, 0.5876859365360567
29, 11, -0.5876859365360773
37, 6, -0.2933499838896295
31, 10, 0.2933499838897517
19, 15, 0.2933499838897053
-2, 19, 0.2933499838896755
22, 14, -0.2289718695143709
27, 12, 1.739533602866366
41, 2, 0.7850378235599257
-1, 19, -0.7910172984466002
33, 9, -2.336953239815318
16, 16, 0.03700140651637612
36, 7, -2.742288207142443
12, 17, -2.742288207142375
25, 13, -0.5360236746392189
7, 18, 0.536023674639226
0, 19, 0.4503509596494671
42, 1, 0.9002475593945068
35, 8, 1.270532252519035
20, 15, 0.3232431262801028
1, 19, 1.270532252518856
8, 18, -1.183127837801542
23, 14, -1.30521645055819
30, 11, -0.1480520329774724
