d = 19, symClass = C, r = 14.41478203521055, D = 16, Y = 0.1121146139348563
max of |f(z) - f(z^*)| for 100 points = 3.752775867837954e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = -3.727462782876501e-12, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = -3.621103417117411e-12, 
confident_r = 14.414782035211
-5, 14, 0.4949182202767474
19, 9, -1.779816441012265
10, 12, -1.158241775892117
-4, 14, 1.158241775892585
-3, 14, 1.56675855949201
25, 6, -1.028867821938506
14, 11, 1.02886782194006
-2, 14, -1.393688593000806
17, 10, -0.2736644967529737
6, 13, -0.2736644967527592
31, 0, 1.486199169757999
-1, 14, -0.1172613241604159
29, 3, 0.2681691692863542
11, 12, -0.2681691692859736
28, 4, -0.9843967132212043
30, 2, -1.436036336901082
22, 8, 1.43603633689942
0, 14, -0.05570873987498412
20, 9, 0.9149825671135005
7, 13, -0.9149825671129224
27, 5, -0.1837540445783488
24, 7, 0.1837540445782846
15, 11, 1.374540071895757
1, 14, -1.374540071895634
31, 1, 1.335708792569537
18, 10, 1.565182556287898
12, 12, -0.7359361551237388
26, 6, 0.3956764895584641
2, 14, -0.3956764895511672
8, 13, 0.2988306833803824
32, 0, -0.3014939079685767
3, 14, 0.9118626228366418
23, 8, -0.590725872865195
30, 3, -0.3129402647009296
21, 9, 0.3129402647002277
29, 4, 0.2253942233841983
16, 11, 0.2253942233834266
31, 2, 0.09430085079654298
9, 13, -0.09430085079759006
25, 7, -2.743548053759157e-13
13, 12, 1.226213441032727e-13
28, 5, 0.06392271166739295
19, 10, -1.292375275670552
4, 14, -0.3936297238202433
32, 1, -1.61017977696099
-7, 15, -0.6030646822532821
27, 6, 0.1685049898256352
-6, 15, 0.1685049898255803
-5, 15, -0.7851179265407301
10, 13, -0.2406150708484208
5, 14, 0.2406150708487621
17, 11, 0.1390936142790145
-4, 15, 0.1390936142792591
14, 12, 0.07958275427886891
22, 9, 1.226036371789143
24, 8, -0.6755869541914297
33, 0, 3.35038915201038
-3, 15, 1.353708627381247
31, 3, 0.1386377984245474
-2, 15, -0.1386377984250449
30, 4, 0.5181149986951478
20, 10, 1.690589754215279
6, 14, 0.5181149986950672
26, 7, 0.558491045199951
32, 2, -2.163617755177005
11, 13, 0.8728515418162283
29, 5, -1.755527353888799
-1, 15, 1.755527353888618
0, 15, 0.409776797755462
15, 12, -2.15663987470883
33, 1, 0.172454049312351
18, 11, -0.1724540493116263
7, 14, 0.006690079859376493
28, 6, -2.919910542788108
23, 9, 0.2593282684749705
1, 15, 0.2593282684753539
25, 8, 0.2968702430714576
12, 13, -0.2968702430713749
21, 10, 0.1252542101006469
34, 0, 0.3251801117937554
8, 14, -1.379898197891715
2, 15, -3.73704603634567e-13
27, 7, -0.7649739256145114
32, 3, -1.681506169862252
31, 4, 1.681506169862613
16, 12, 0.08737420039928191
33, 2, 0.1821348745324606
30, 5, 0.5942992454291416
19, 11, 0.1821348745324119
3, 15, 0.222724234055748
13, 13, -0.3847305916002797
9, 14, -0.01842420572501222
34, 1, 0.7151081030085298
29, 6, -0.7151081030100237
24, 9, -1.34172848683903e-13
4, 15, -0.6591161551685476
26, 8, 0.3379815687516822
22, 10, -0.3379815687521012
17, 12, 0.7237565473727975
-8, 16, 2.402807758897229e-16
-7, 16, -1.17919839280221
10, 14, 0.7699234926158419
-6, 16, -0.7699234926149759
14, 13, -1.667416286584956
35, 0, 0.02858441368748251
28, 7, 0.008760264530563628
20, 11, 0.2258183943024574
5, 15, 0.7368369274808102
-5, 16, -0.2258183943021666
32, 4, -0.4774466973821996
-4, 16, 0.4774466973822292
33, 3, 2.827565538105679
31, 5, -0.02000579621730888
-3, 16, -0.02000579621987417
34, 2, -0.8350939350492076
6, 15, -2.770786530413824
-2, 16, 1.593621608839814
25, 9, -0.8031024536709537
11, 14, 0.8031024536704362
23, 10, 0.4979615809442587
30, 6, 0.5755957199838371
18, 12, -0.5755957199834018
35, 1, 0.2030234481877856
27, 8, -0.2030234481880383
15, 13, -0.2030234481881076
-1, 16, 0.2030234481876018
21, 11, -0.9792828847576914
7, 15, 1.157703690378744
0, 16, -0.6390770151605872
29, 7, 0.5283600611884467
12, 14, 1.519466583265532e-12
36, 0, 5.696572306935852
1, 16, -0.4859927173101834
33, 4, 1.36222013628437
34, 3, -0.3069393746988695
32, 5, 0.1093194706146462
8, 15, 0.1093194706154217
19, 12, 0.1093194706149882
16, 13, -0.1093194706144026
35, 2, 0.20197324316335
26, 9, -0.2019732431638138
24, 10, -0.255836969820905
2, 16, -0.2558369698211113
31, 6, -0.224153970939096
28, 8, 1.468428990469249
22, 11, 0.878233402259549
13, 14, 0.417135109769654
36, 1, -0.2272603452830001
3, 16, 0.2272603452834894
9, 15, -0.9743384293250448
30, 7, -0.04083428158336563
17, 13, 0.04083428158149172
20, 12, 0.7287143189659937
