d = 19, symClass = C, r = 18.56400734520961, D = 16, Y = 0.1185646102314963
max of |f(z) - f(z^*)| for 100 points = 2.604416682316923e-12; a(2 + 0*theta)*a(0 + 1*theta) - a(0 + 2*theta) = 2.54827409174041e-13, a(2 + 0*theta)*a(1 + 1*theta) - a(2 + 2*theta) = 3.132077930345645e-13, 
confident_r = 18.56400734521
20, 12, -0.3739511086581512
4, 16, -0.3631985323326853
37, 0, -0.2045699762443083
34, 4, 0.07492409962698338
14, 14, 0.1963211365508359
-8, 17, -0.5583150910448345
35, 3, -0.8712053308949975
25, 10, 0.9016114804833042
10, 15, 0.8835965725704122
-7, 17, -0.8892700620463151
27, 9, -0.01653053997970942
33, 5, 0.7940739851384083
-6, 17, 0.6098006044085076
5, 16, 0.3273302835592678
-5, 17, -0.3381345726746476
23, 11, 0.2767279199667146
36, 2, 0.07283607262441824
29, 8, 0.7290914900479644
-4, 17, 0.1274340075347939
32, 6, -0.02886881233266337
18, 13, 1.086408370045925
-3, 17, 1.171626772366703
37, 1, 0.177020118195694
11, 15, -0.3359952964355261
6, 16, -0.2825708816365345
21, 12, 0.4133856332238889
15, 14, -1.001979054163967
-2, 17, -1.105942676005437
31, 7, -0.5857187515101778
-1, 17, -0.03085606184357104
26, 10, 0.07075728036048007
28, 9, -1.402101414900145
7, 16, -1.301465726213509
38, 0, 0.1466769548231877
35, 4, -0.05347165606141459
24, 11, -0.1381142597347502
0, 17, 0.00435695122703585
36, 3, 0.9235685433484573
12, 15, -0.429358934193388
34, 5, 1.08834219911855
19, 13, 0.3139163309627024
30, 8, 0.1348432467835126
16, 14, 0.135639669021934
37, 2, 0.4080637489581649
1, 17, -0.4983784469831045
33, 6, 0.2741746669491978
22, 12, 0.1623440222573203
8, 16, 0.7146109245150949
2, 17, 0.7925741451882117
38, 1, 0.5249187628613087
13, 15, 1.083293864003876
32, 7, -0.539949920947336
27, 10, -0.7128083078536961
25, 11, -0.3885913170524566
20, 13, -0.1593507224081251
9, 16, -0.3452740058090986
3, 17, -0.1251193801160854
29, 9, -0.4642671347557151
17, 14, 0.6642252330366549
36, 4, 0.7663664618754055
